brand,model,screen_size (inches),color,harddisk (in GB),cpu,ram (GB),OS,special_features,graphics,graphics_coprocessor,cpu_speed (GHz),rating,price
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
Apple,MacBook Air,13.30,Silver,256.00,Unknown,8.00,Mac OS,Backlit Keyboard,Integrated,,,4.80,689.99
Apple,MacBook Air,15.30,Midnight,256.00,Unknown,8.00,Mac OS,,Integrated,,,4.80,1144.48
Acer,A315-24P-R7VH,15.60,Silver,128.00,Ryzen 3,8.00,Windows 11 S,Backlit Keyboard,Integrated,,,4.50,299.99
Apple,MacBook Pro,13.30,Space Gray,256.00,Unknown,8.00,Mac OS,Backlit Keyboard,Integrated,,,4.70,965.08
Acer,CB315-3HT,15.60,Silver,64.00,Celeron N4020,4.00,Chrome OS,Support Stylus,Integrated,,,4.40,239.99
ASUS,ROG Strix G16,16.00,Eclipse Gray,512.00,Core i7,16.00,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.40,1274.03
acer,A515-56-347N,15.60,Silver,128.00,Core I3 1115G4,8.00,Windows 11 S,Amazon Alexa,Integrated,,,4.30,299.99
acer,AN515-58-57Y8,15.60,Black,512.00,Core i5,16.00,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.40,814.77
HP,Notebook,14.00,Grey,1000.00,Ryzen 3 3250U,16.00,Windows 11,Anti Glare Coating,Integrated,,,4.40,379.99
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
acer,Nitro 17,17.30,Black,1000.00,AMD Ryzen 7,16.00,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,,,4.40,1199.99
HP,hp laptop,15.60,,1000.00,Intel Core i3,16.00,Windows 11 Home,Anti-glare,Integrated,Intel UHD Graphics,,4.20,473.00
Gateway,,11.60,Blue,64.00,Celeron N4020,4.00,Windows 10 S,,Integrated,Intel,1.10,4.00,155.00
ASUS,FX506HF-ES51,15.60,Graphite Black,512.00,Core i5,8.00,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.50,699.99
MSI,Thin GF63 12VE-066US,15.60,,512.00,Core i7,16.00,Windows 11 Home,Anti Glare Coating,RTX 4050,,,4.50,938.00
Lenovo,IdeaPad 3 81X800ENUS,15.60,Almond,256.00,Core i3,20.00,Windows 11,Backlit Keyboard,Integrated,,,4.30,419.00
Lenovo,IdeaPad Gaming 3,15.60,Onyx Grey,256.00,Ryzen 5,8.00,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.30,801.96
ASUS,ROG Strix G16,16.00,Eclipse Gray,1000.00,Intel Core i9,16.00,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.50,1799.99
HP,Chromebook 14a-na0226nr,14.00,Mineral Silver,64.00,Celeron,4.00,Chrome OS,Anti-Glare,Integrated,,,4.40,249.00
HP,TPN-I139_320M3AV,17.30,Silver,1000.00,Core i3 Family,32.00,Windows 11 Home,HD Audio,Integrated,,,4.60,510.00
HP,i5 12th Gen 15-dy5399nr,15.60,Silver,512.00,Core i5,16.00,Windows 11 Home,Micro-edge Bezel,Integrated,,,4.30,527.15
ASUS,ROG Strix G16,16.00,Eclipse Gray,,Core i9,32.00,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,5.60,4.30,2199.00
MSI,Stealth GS66 12UGS-025,15.60,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.80,1.00,1699.00
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32.00,Windows 11 Home,,Dedicated,,1.80,5.00,1599.00
